"Customer_ID","Product_Rank","Product_Provider","Product_Name","Product_Value","Sold","Sale_Source"
37,1,Provider A,Product 64,377.089,0,""
37,2,Provider A,Product 3160,60.4049,0,""
37,3,Provider A,Product 56,309.119,0,""
37,4,Provider A,Product 552,224.304,0,""
37,5,Provider A,Product 3292,79.1503,0,""
37,6,Provider A,Product 76,401.601,0,""
37,7,Provider B,Product 1412,263.217,0,""
37,8,Provider A,Product 84,525.587,0,""
37,9,Provider B,Product 3164,556.828,0,""
57,1,Provider A,Product 56,229.212,0,""
57,2,Provider A,Product 552,63.3663,1,"online"
57,3,Provider A,Product 84,651.466,0,""
57,4,Provider B,Product 3532,782.26,1,"online"
57,5,Provider B,Product 1412,653.106,0,""
57,6,Provider B,Product 3164,698.661,0,""
57,7,Provider B,Product 1412,58.2317,0,""
57,8,Provider B,Product 3164,239.248,0,""
60,1,Provider A,Product 3160,174.154,0,""
60,2,Provider A,Product 3292,576.061,0,""
60,3,Provider A,Product 64,176.726,0,""
60,4,Provider A,Product 56,445.284,0,""
60,5,Provider B,Product 3532,194.45,0,""
60,6,Provider A,Product 552,76.0832,0,""
60,7,Provider A,Product 76,660.539,1,"callcentre"
60,8,Provider B,Product 1412,186.792,0,""
60,9,Provider A,Product 84,60.6906,0,""
60,10,Provider B,Product 3164,801.484,0,""
113,1,Provider A,Product 3160,779.049,0,""
113,2,Provider A,Product 56,60.3624,0,""
113,3,Provider A,Product 552,589.123,0,""
113,4,Provider A,Product 84,963.334,0,""
113,5,Provider B,Product 1412,726.417,0,""
113,6,Provider B,Product 3164,986.993,0,""
176,1,Provider A,Product 56,270.895,0,""
176,2,Provider A,Product 552,28.5394,0,""
176,3,Provider A,Product 68,270.976,0,""
176,4,Provider A,Product 60,10.4734,0,""
176,5,Provider A,Product 88,98.4864,0,""
176,6,Provider A,Product 84,375.51,0,""
176,7,Provider B,Product 1412,605.619,0,""
191,1,Provider A,Product 3160,953.635,0,""
191,2,Provider A,Product 3292,"1,061.46",1,"callcentre"
191,3,Provider A,Product 56,501.067,0,""
191,4,Provider A,Product 552,999.727,0,""
191,5,Provider A,Product 64,"1,429.59",0,""
191,6,Provider A,Product 76,"1,476.19",0,""
191,7,Provider A,Product 84,695.736,0,""
191,8,Provider B,Product 3532,"1,478.59",0,""
191,9,Provider B,Product 3164,"1,019.77",0,""
191,10,Provider B,Product 1412,851.335,0,""
195,1,Provider A,Product 3160,45.2972,0,""
195,2,Provider A,Product 56,39.7153,0,""
195,3,Provider A,Product 552,147.736,0,""
195,4,Provider A,Product 84,81.2766,0,""
195,5,Provider B,Product 1412,285.021,0,""
195,6,Provider B,Product 3164,370.79,0,""
205,1,Provider B,Product 3164,870.43,1,"online"
205,2,Provider A,Product 3160,32.8107,0,""
205,3,Provider B,Product 1412,159.184,0,""
205,4,Provider A,Product 3292,130.925,0,""
205,5,Provider A,Product 56,0,0,""
205,6,Provider A,Product 552,390.882,0,""
205,7,Provider A,Product 84,109.963,0,""
205,8,Provider B,Product 3164,589.753,0,""
205,9,Provider A,Product 84,185.529,0,""
205,10,Provider B,Product 3532,89.2474,0,""
205,11,Provider B,Product 1412,963.25,0,""
205,12,Provider B,Product 3164,"1,333.1",0,""
219,1,Provider A,Product 3160,"1,966.41",1,"online"
219,2,Provider A,Product 56,"1,653.32",0,""
219,3,Provider A,Product 552,"2,358.04",0,""
219,4,Provider B,Product 3164,"1,574.02",0,""
219,5,Provider A,Product 84,"2,394.8",0,""
223,1,Provider B,Product 3532,0,1,"online"
223,2,Provider B,Product 3164,912.011,0,""
223,3,Provider B,Product 1412,463.406,0,""
223,4,Provider A,Product 552,503.557,0,""
223,5,Provider A,Product 84,"1,092.94",0,""
223,6,Provider B,Product 3532,539.381,0,""
223,7,Provider B,Product 1412,202.864,0,""
223,8,Provider B,Product 3164,859.178,0,""
223,9,Provider B,Product 3164,705.401,0,""
223,10,Provider A,Product 84,826.303,0,""
234,1,Provider A,Product 3160,443.592,1,"online"
234,2,Provider A,Product 3292,405.187,0,""
